Country,TotalMedals,TotalMedalsHalfWidth
USA,142,16.5
CHN,94,12.5
JPN,79,16
GBR,77,7
AUS,63,9
FRA,63,14.5
NED,51,10
KOR,39,4
GER,37,6.5
ITA,37,5.5
UKR,28,10
CAN,27,4.5
NZL,16,4.5
GRE,15,2.5
HUN,14,4
BEL,12,3.5
POL,12,5.5
TUR,12,3
AUT,11,2.5
BRA,11,9
CUB,11,2
ESP,11,5.5
IND,11,2
MAR,11,5.5
DEN,10,4.5
SWE,10,3.5
GEO,9,2
KEN,9,2
MGL,9,1.5
ROU,9,3
SRB,9,3.5
SUI,9,5
CRO,8,2.5
FIN,8,2
INA,8,3.5
JAM,8,2
MAS,8,2
MEX,8,6
SLO,8,3
NGR,7,2
ROC,7,3
IRI,6,2
KAZ,6,3
LTU,6,1.5
PUR,6,1.5
RSA,6,4
RUS,6,3.5
THA,6,2.5
AZE,5,1.5
COL,5,3.5
ETH,5,1
IRL,5,3
PRK,5,1
TPE,5,2
ALG,4,1.5
CYP,4,1
EOR,4,1.5
ISR,4,2.5
POR,4,3.5
ARG,3,3
ARM,3,1.5
CZE,3,3
ECU,3,3
EGY,3,3.5
EST,3,1
FIJ,3,2
GUA,3,0.5
HKG,3,1.5
SCG,3,1
SGP,3,1
TUN,3,1
UZB,3,1.5
KGZ,2,1
KOS,2,0.5
KUW,2,0.5
MDA,2,0
PER,2,2.5
SVK,2,1.5
TJK,2,0.5
TTO,2,0.5
UAE,2,1
VIE,2,0.5
BAH,1,0.5
BOT,1,0.5
BRN,1,0
CIV,1,0.5
DOM,1,2
ERI,1,1
KSA,1,0.5
MKD,1,0.5
MOZ,1,0.5
NAM,1,2
PAK,1,0.5
QAT,1,0.5
SMR,1,0
TKM,1,0.5
UGA,1,0
URU,1,0.5
VEN,1,1.5
AFG,-0,0
AHO,-0,0
ALB,0,0.5
AND,-0,0
ANG,0,0.5
ANT,0,0
ANZ,-0,0
ARU,0,0.5
ASA,0,0
BAN,-0,0
BAR,0,0
BDI,0,0
BEN,0,0
BHU,-0,0.5
BIH,0,0
BIZ,-0,0
BOH,-0,0
BOL,-0,0
BRU,-0,0
BUR,0,0.5
CAF,-0,0
CAM,-0,0
CAY,-0,0
CGO,-0,0
CHA,-0,0.5
CMR,0,0.5
COD,-0,0
COK,-0,0.5
COM,-0,0
CPV,-0,0
CRC,-0,1
CRT,-0,0
DJI,0,0
DMA,-0,0
ESA,-0,0
EUN,-0,0
FRG,-0,0
FSM,-0,0
GAB,0,0
GAM,-0,0
GBS,0,0
GDR,-0,0
GEQ,-0,0
GHA,-0,0
GRN,0,0.5
GUI,0,0.5
GUM,0,0
GUY,-0,0
HAI,0,0
HON,-0,0
IOA,0,0
IRQ,-0,0
ISV,-0,0
IVB,-0,0
JOR,0,0.5
KIR,0,0
LAO,-0,0
LBA,-0,0
LBN,-0,0.5
LBR,-0,0
LCA,0,0.5
LES,-0,0
LIB,-0,0
LIE,-0,0
LUX,0,1
MAD,0,0.5
MAL,-0,0
MAW,-0,0
MDV,-0,0
MHL,-0,0
MLI,-0,0
MLT,0,0
MON,0,0
MRI,0,0.5
MTN,-0,0
MYA,-0,0
NBO,-0,0
NCA,0,0
NEP,0,0
NFL,-0,0
NIG,0,0.5
NRU,-0,0
OMA,0,0
PAN,0,0.5
PAR,-0,0
PHI,0,1.5
PLE,0,0
PLW,-0,0
PNG,0,0.5
RHO,-0,0
ROT,-0,0
RWA,0,0.5
SAA,-0,0
SAM,0,0.5
SEN,-0,0.5
SEY,-0,0
SKN,-0,0
SLE,0,0
SOL,-0,0
SOM,-0,0
SRI,0,0
SSD,-0,0
STP,-0,0.5
SUD,0,0
SUR,-0,0
SWZ,-0,0
SYR,-0,0
TAN,-0,0
TCH,-0,0
TGA,-0,0
TLS,-0,0
TOG,-0,0
TUV,-0,0
UAR,-0,0
UNK,-0,0
URS,-0,0
VAN,-0,0
VIN,-0,0
VNM,-0,0
WIF,-0,0
YAR,-0,0
YEM,0,0
YMD,-0,0
YUG,-0,0
ZAM,0,0.5
ZIM,0,0
BER,-1,1
ISL,-1,0.5
LAT,-1,3
MNE,-1,0.5
NOR,-1,3.5
AIN,-3,4.5
BLR,-3,2.5
BUL,-3,2
CHI,-3,1
