CountryValues,MValues
AND,0.190840309373476
ANG,0.206775986271327
ANT,0.193819594998938
ARU,0.19413154578823
ASA,0.192849487104714
BAN,0.200730766457527
BEN,0.194133910505742
BHU,0.194342481077873
BIH,0.193473753481943
BIZ,0.190840309373476
BOL,0.192631874918826
BRU,0.191802712030153
CAF,0.191802712030153
CAM,0.192285299622593
CAY,0.192458527850133
CGO,0.191802712030153
CHA,0.194517116284451
COD,0.200458726349155
COK,0.192989757477873
COM,0.191493614214314
CRT,0.190668193773412
ESA,0.191629934014436
FSM,0.191629934014436
GAM,0.192321758847854
GBS,0.195172017249103
GEQ,0.191666298462939
GUI,0.196255339888443
GUM,0.192988895837267
HON,0.193730647078491
IVB,0.191184896687355
KIR,0.195585500130603
LAO,0.192112190221602
LBA,0.192350195257004
LBN,0.196103819336106
LBR,0.191875496204312
LES,0.191184896687355
LIE,0.191148601975921
MAD,0.200371583720868
MAL,0.190668193773412
MAW,0.191629934014436
MDV,0.192285299622593
MHL,0.192112190221602
MLI,0.195765203415075
MLT,0.192768811823271
MTN,0.191012543672902
MYA,0.190668193773412
NBO,0.190668193773412
NCA,0.193318393073202
NEP,0.194446245165508
NFL,0.190668193773412
NRU,0.190840309373476
OMA,0.191975608831011
PLE,0.193647795687372
PLW,0.192285299622593
PNG,0.200336398458435
RHO,0.190668193773412
ROT,0.190668193773412
RWA,0.198350888788219
SAA,0.190668193773412
SAM,0.20709553310057
SEY,0.191802712030153
SKN,0.191184896687355
SLE,0.193473753481943
SOL,0.191148601975921
SOM,0.190668193773412
SSD,0.190840309373476
STP,0.19355873956604
SWZ,0.192112190221602
TLS,0.191802712030153
TUV,0.191012543672902
UNK,0.190668193773412
VAN,0.194493044650923
VIN,0.192285299622593
VNM,0.190668193773412
YAR,0.190668193773412
YEM,0.194446245165508
YMD,0.190668193773412
