Country,Total,Gold
AFG,-0,-0
AHO,-0,-0
AIN,-0,-0
ALB,-0,-0
ALG,3,1
AND,-0,-0
ANG,0,0
ANT,-0,-0
ANZ,-0,-0
ARG,5,0
ARM,2,-0
ARU,0,-0
ASA,0,-0
AUS,47,20
AUT,9,4
AZE,1,-1
BAH,1,0
BAN,0,-0
BAR,0,-0
BDI,0,0
BEL,-6,-1
BEN,0,0
BER,0,-0
BHU,-0,-0
BIH,0,0
BIZ,-0,-0
BLR,5,0
BOH,-0,-0
BOL,0,0
BOT,0,0
BRA,-8,-0
BRN,1,0
BRU,-0,-0
BUL,-4,-2
BUR,0,0
CAF,-0,-0
CAM,-0,-0
CAN,25,9
CAY,-0,-0
CGO,0,0
CHA,-0,-0
CHI,-2,-1
CHN,78,35
CIV,0,0
CMR,1,-0
COD,0,-0
COK,0,-0
COL,4,1
COM,-0,-0
CPV,-1,-0
CRC,0,0
CRO,15,6
CRT,-0,-0
CUB,17,6
CYP,3,1
CZE,8,4
DEN,15,6
DJI,0,-0
DMA,-0,-0
DOM,1,1
ECU,1,1
EGY,-5,-1
EOR,1,0
ERI,0,-0
ESA,0,0
ESP,-3,-3
EST,5,1
ETH,3,1
EUN,1,0
FIJ,6,3
FIN,6,2
FRA,37,21
FRG,-0,-0
FSM,-0,-0
GAB,0,0
GAM,-0,-0
GBR,53,20
GBS,0,-0
GDR,-0,-0
GEO,10,3
GEQ,-0,-0
GER,26,11
GHA,1,-0
GRE,13,4
GRN,0,0
GUA,2,1
GUI,0,0
GUM,-0,-0
GUY,0,-0
HAI,0,0
HKG,5,2
HON,0,-0
HUN,26,7
INA,13,4
IND,10,3
IOA,3,1
IRI,5,0
IRL,-1,-1
IRQ,-0,-0
ISL,-1,-0
ISR,-10,-2
ISV,-0,-0
ITA,17,5
IVB,-0,-0
JAM,4,2
JOR,0,0
JPN,17,10
KAZ,10,2
KEN,11,5
KGZ,2,0
KIR,-0,-0
KOR,15,5
KOS,1,0
KSA,0,0
KUW,1,1
LAO,-0,-0
LAT,3,1
LBA,0,0
LBN,-0,-0
LBR,-0,-0
LCA,0,0
LES,-0,-0
LIB,-0,-0
LIE,-0,-0
LTU,5,1
LUX,0,0
MAD,0,0
MAL,-0,-0
MAR,2,1
MAS,8,3
MAW,-0,-0
MDA,1,0
MDV,-0,-0
MEX,6,1
MGL,10,4
MHL,-0,-0
MKD,0,0
MLI,-0,-0
MLT,0,-0
MNE,0,0
MON,0,-0
MOZ,0,0
MRI,0,0
MTN,-0,-0
MYA,0,-0
NAM,0,-0
NBO,-0,-0
NCA,0,0
NED,16,6
NEP,0,0
NFL,-0,-0
NGR,3,-0
NIG,0,0
NOR,-3,-0
NRU,-0,-0
NZL,21,7
OMA,0,-0
PAK,0,0
PAN,0,0
PAR,-1,-1
PER,3,1
PHI,-1,-1
PLE,0,0
PLW,-0,-0
PNG,0,0
POL,23,6
POR,9,3
PRK,5,3
PUR,2,1
QAT,2,1
RHO,-0,-0
ROC,-32,-8
ROT,0,-0
ROU,4,3
RSA,2,2
RUS,18,6
RWA,-0,-0
SAA,-0,-0
SAM,0,-0
SCG,4,2
SEN,0,-0
SEY,1,0
SGP,6,2
SKN,-0,-0
SLE,-0,-0
SLO,9,4
SMR,1,1
SOL,-0,-0
SOM,-0,-0
SRB,10,4
SRI,0,0
SSD,-0,-0
STP,-0,-0
SUD,0,0
SUI,-8,-3
SUR,0,-0
SVK,4,2
SWE,8,3
SWZ,-0,-0
SYR,0,-0
TAN,-0,-0
TCH,1,0
TGA,0,-0
THA,2,1
TJK,1,0
TKM,0,0
TLS,-0,-0
TOG,-0,-0
TPE,-8,-2
TTO,1,1
TUN,4,1
TUR,-2,-1
TUV,-0,-0
UAE,1,0
UAR,-0,-0
UGA,1,0
UKR,-10,-5
UNK,-0,-0
URS,-0,-0
URU,2,0
USA,70,28
UZB,-5,-2
VAN,0,-0
VEN,2,0
VIE,-2,-0
VIN,-0,-0
VNM,-0,-0
WIF,-0,-0
YAR,-0,-0
YEM,0,-0
YMD,-0,-0
YUG,-0,-0
ZAM,0,0
ZIM,1,0
